Região,nome_uf,nome_mun,cod_mun_ibge,total_ubs
Centro-Oeste,Mato Grosso,Rondonópolis,510760,68
Centro-Oeste,Mato Grosso,Rosário Oeste,510770,7
Centro-Oeste,Mato Grosso,Salto do Céu,510775,2
Centro-Oeste,Mato Grosso,Santa Carmem,510724,4
Centro-Oeste,Mato Grosso,Santa Cruz do Xingu,510774,1
Centro-Oeste,Mato Grosso,Santa Rita do Trivelato,510776,3
Centro-Oeste,Mato Grosso,Santa Terezinha,510777,2
Centro-Oeste,Mato Grosso,Santo Afonso,510726,1
Centro-Oeste,Mato Grosso,Santo Antônio de Leverger,510780,8
Centro-Oeste,Mato Grosso,Santo Antônio do Leste,510779,2
Centro-Oeste,Mato Grosso,Sapezal,510787,7
Centro-Oeste,Mato Grosso,Serra Nova Dourada,510788,2
Centro-Oeste,Mato Grosso,Sinop,510790,35
Centro-Oeste,Mato Grosso,Sorriso,510792,29
Centro-Oeste,Mato Grosso,São Félix do Araguaia,510785,4
Centro-Oeste,Mato Grosso,São José do Povo,510729,2
Centro-Oeste,Mato Grosso,São José do Rio Claro,510730,7
Centro-Oeste,Mato Grosso,São José do Xingu,510735,2
Centro-Oeste,Mato Grosso,São José dos Quatro Marcos,510710,6
Centro-Oeste,Mato Grosso,São Pedro da Cipa,510740,3
Centro-Oeste,Mato Grosso,Tabaporã,510794,5
Centro-Oeste,Mato Grosso,Tangará da Serra,510795,26
Centro-Oeste,Mato Grosso,Tapurah,510800,6
Centro-Oeste,Mato Grosso,Terra Nova do Norte,510805,5
Centro-Oeste,Mato Grosso,Tesouro,510810,3
Centro-Oeste,Mato Grosso,Torixoréu,510820,2
Centro-Oeste,Mato Grosso,União do Sul,510830,3
Centro-Oeste,Mato Grosso,Vale de São Domingos,510835,3
Centro-Oeste,Mato Grosso,Vera,510850,3
Centro-Oeste,Mato Grosso,Vila Bela da Santíssima Trindade,510550,9
Centro-Oeste,Mato Grosso,Vila Rica,510860,6
Centro-Oeste,Mato Grosso,Várzea Grande,510840,32
Centro-Oeste,Mato Grosso,Água Boa,510020,15
Centro-Oeste,Mato Grosso do Sul,Alcinópolis,500025,2
Centro-Oeste,Mato Grosso do Sul,Amambai,500060,10
Centro-Oeste,Mato Grosso do Sul,Anastácio,500070,10
Centro-Oeste,Mato Grosso do Sul,Anaurilândia,500080,4
Centro-Oeste,Mato Grosso do Sul,Angélica,500085,4
Centro-Oeste,Mato Grosso do Sul,Antônio João,500090,3
Centro-Oeste,Mato Grosso do Sul,Aparecida do Taboado,500100,4
Centro-Oeste,Mato Grosso do Sul,Aquidauana,500110,15
Centro-Oeste,Mato Grosso do Sul,Aral Moreira,500124,5
Centro-Oeste,Mato Grosso do Sul,Bandeirantes,500150,3
Centro-Oeste,Mato Grosso do Sul,Bataguassu,500190,10
Centro-Oeste,Mato Grosso do Sul,Batayporã,500200,5
Centro-Oeste,Mato Grosso do Sul,Bela Vista,500210,8
